"Pop_Code","standard","actual","fruit.inf.Length","aborted.inf.length","flower.inf.length","bud.inf.Length","Location","Date","Latitude","Longitude","yday","Year","GD","GDs","GDD","GDDs","meanGDeg","varGDeg","skewGDeg","kurtGDeg","numStns","flowered.cm","bud.cm","fruit.cm","a.flower.cm","infl.cm","flowered.mm","bud.mm","fruit.mm","a.flower.mm","infl.mm"
"465766047",145.35,5,231.32,0,0,19.8,"",NA,46.065252,-60.566106,233,1951,144.2154895879,82.6159849097,1063.8912328655,718.5460238376,7.8032267418,15.8318170864,-0.2553383497,-1.0405037249,5,0,0.681114551083591,7.95734434124527,0,8.63845889232886,0,6.81114551083591,79.5734434124527,0,86.3845889232886
"465766049",144,5,294.35,0,0,0,"",NA,45.975101,-61.121581,226,1953,131.7369152419,77.7658840556,1031.1031781867,649.2222974804,7.8674550726,15.851832307,-0.3033000067,-1.0067594302,5,0,0,10.2204861111111,0,10.2204861111111,0,0,102.204861111111,0,102.204861111111
"465766050",146,5,185.03,0,58.14,118.57,"",NA,43.887476,-66.090388,223,1954,159.9305636951,88.9305636951,975.3234075811,569.3710327182,6.0842474649,5.3580258077,-0.4079011276,-0.4523248775,5,1.99109589041096,4.06061643835616,6.33664383561644,0,12.3883561643836,19.9109589041096,40.6061643835616,63.3664383561644,0,123.883561643836
"MICH-V-1433784",1166.027,10,1090.447,0,460.786,185.149,"Cook Co., Minnesota, Pigeon River Crossing, 0.5km S of Canadian border on E side Hwy 61","05/09/1986",47.994059,-89.587343,248,1986,143.8548742255,97.5961814964,905.6810473498,823.7075126822,6.3185740657,16.4412587673,0.2322545981,-0.7751185231,5,3.95176097980579,1.58786203063908,9.35181603856514,0,14.89143904901,39.5176097980578,15.8786203063908,93.5181603856514,0,148.9143904901
"MICH-V-1433776",1166.015,10,600.345,0,578.538,496.818,"Magdalen Islands, Quebec, Gross-ile, Baie de la Grosse Ile, near jct Cehmin North and Hwy 199","11/08/1998",47.382383,-61.884651,223,1998,137.3469286129,83.4651804563,960.342723045,623.9659814797,7.4465174801,13.471200202,0.1838066977,-0.3918158093,5,4.96166858916909,4.26081997229881,5.14869019695287,0,14.3711787584208,49.6166858916909,42.6081997229881,51.4869019695287,0,143.711787584208
"918950499",154.01,5,0,0,374.83,189.68,"",NA,45.17,-74.97,226,1896,137.9522461372,95.5199532595,1219.2500131067,950.2743753052,8.8493791323,15.0086074072,0.106775264,-0.8135188017,6,12.169014999026,6.15804168560483,0,0,18.3270566846309,121.69014999026,61.5804168560483,0,0,183.270566846309
"918950480",155.51,5,204.02,0,277.41,75.42,"",NA,50.8,-113.99,246,1942,123.0025367543,98.8625946403,713.0344463237,611.0213102555,5.8037059172,14.3569916844,0.2486709454,-0.9106654568,6,8.91936209890039,2.42492444215806,6.55970677126873,0,17.9039933123272,89.1936209890039,24.2492444215806,65.5970677126873,0,179.039933123272
"365679",1896.004,10,2419.998,0,289.05,802.198,"Deer Lake, Michigan","0025-07-19",46.516484,-87.671988,207,1944,124.780836944,65.9778214611,1236.612909727,675.7128502827,9.908404084,17.9666502392,-0.1335553186,-0.574071773,6,1.52452210016435,4.23099318355868,12.7636756040599,0,18.5191908877829,15.2452210016435,42.3099318355868,127.636756040599,0,185.191908877829
"BHO-V-0001937",1216.007,10,826.477,0,858.268,720.842,"Deer Lake Michigan","22/07/1944",46.517256,-87.691644,204,1944,124.7860829156,62.9828692269,1238.8607030886,639.3363081544,9.9259294792,17.9974720466,-0.1364864338,-0.5724963292,6,7.05808436958011,5.9279428490132,6.79664672982968,0,19.782673948423,70.5808436958011,59.279428490132,67.9664672982968,0,197.82673948423
"MICH-V-1355559",1170.084,10,856.414,0,1661.436,0,"Houghton CO., Michigan, shore of Portage Lake near Onigaming Yacht Club","03/08/1948",47.124722,-88.59849,216,1948,118.4855549595,69.8056412865,1014.5972756535,571.1005302896,8.8313693723,18.8648229379,0.43853279,-0.1160059146,6,14.1992882562278,0,7.31925229299777,0,21.5185405492255,141.992882562278,0,73.1925229299777,0,215.185405492255
"465766045",146,5,0,0,193.48,83.55,"",NA,46.083092,-61.352733,214,1951,144.8931498526,60.0666628152,1109.3901026521,503.8988254814,7.6589212726,17.7961913185,-0.3639167927,-0.9828105228,6,6.62602739726027,2.86130136986301,0,0,9.48732876712329,66.2602739726027,28.6130136986301,0,0,94.8732876712329
"UWL0000024",904.005,10,0,0,884.352,413.042,"46.71800 -92.05575","13/08/1960",46.718,-82.05575,226,1960,137.7414750128,94.7020846961,1051.9092278275,792.6362924759,7.8340596182,12.4171621973,-0.2049922876,-0.2900854909,6,9.78260075995155,4.56902340141924,0,0,14.3516241613708,97.8260075995155,45.6902340141924,0,0,143.516241613708
"465875557",146.67,5,0,0,424.88,184.09,"",NA,46.13488,-59.873289,237,1984,117.2754230203,88.7994465108,969.3947606554,776.532918231,8.2463092427,17.0693589477,-0.3151675762,-0.8833138912,6,14.4842162678121,6.27565282607214,0,0,20.7598690938842,144.842162678121,62.7565282607214,0,0,207.598690938842
"918950453",155,10,0,0,253.23,66.46,"",NA,49.282729,-123.120738,211,1897,166.4793675525,108.6373145704,1119.6324483334,762.0518261632,6.4609804417,12.0080975501,0.1362972038,-0.5943900703,7,16.3374193548387,4.28774193548387,0,0,20.6251612903226,163.374193548387,42.8774193548387,0,0,206.251612903226
"919030168",612.12,5,963.21,0,1598.5,743.65,"","0009-08-19",45.05,-69.69,221,1909,150.1227464712,84.334666453,1308.8338981143,834.7360376208,8.3675975412,18.2020719903,0.3240264937,-0.6061681362,7,13.0570803110501,6.0743808403581,7.8678200352872,0,26.9992811866954,130.570803110501,60.743808403581,78.678200352872,0,269.992811866954
"v0305289WIS",897.005,10,0,0,1395.308,840.796,"41.27959 -70.10255","20/07/1910",41.27959,-70.10255,201,1910,188.9795208375,87.9716641625,1615.3428864296,696.0442531999,8.5539726876,20.5316876384,-0.1537377963,-1.2836922651,7,15.5551864259397,9.37337027106872,0,0,24.9285566970084,155.551864259397,93.7337027106872,0,0,249.285566970084
"919014754",614.05,5,0,0,1761.01,187.07,"","0023-07-19",41.28,-70.1,204,1911,194.4586088111,73.9644057519,1751.6296993691,638.0001005485,9.4683690853,14.0791863145,-0.2199920496,-0.8959376709,7,14.3393046168879,1.52324729256575,0,0,15.8625519094536,143.393046168879,15.2324729256575,0,0,158.625519094536
"919018591",614.05,5,0,0,2966.61,964.76,"","0023-07-19",41.28,-70.1,204,1911,194.4586088111,73.9644057519,1751.6296993691,638.0001005485,9.4683690853,14.0791863145,-0.2199920496,-0.8959376709,7,24.1560947805553,7.85571207556388,0,0,32.0118068561192,241.560947805553,78.5571207556388,0,0,320.118068561192
"919022673",616.08,5,1919.06,0,1051.76,0,"","0024-07-19",44.61,-69.33,206,1912,155.5209354848,86.0754353126,1311.2238764446,760.0485251656,8.7829579138,17.5765785387,0.2658413263,-0.4125665537,7,8.53590442799636,0,15.5747630177899,0,24.1106674457863,85.3590442799636,0,155.747630177899,0,241.106674457863
"919016715",613.37,5,275.12,0,863.24,470.65,"","0006-08-19",44.08,-69.22,218,1919,133.1652866022,87.3928488266,1308.1299259678,927.6234952674,9.5582187867,13.1261393176,0.0844421524,-0.1450481569,7,7.03686192673264,3.83659129073805,2.24269201297749,0,13.1161452304482,70.3686192673264,38.3659129073805,22.4269201297749,0,131.161452304482
"918950483",155.51,5,270.55,0,341.19,198.16,"",NA,51.05,-114.07,232,1947,104.864517013,86.3338275067,656.1653164414,527.1405243249,5.8855287612,12.0205862372,0.1592887268,-1.0231656952,7,10.9700340814096,6.37129445051765,8.6987975049836,0,26.0401260369108,109.700340814096,63.7129445051765,86.987975049836,0,260.401260369108
"1189121",1168.002,10,438.782,0,989.962,754.406,"Houghton Co., Michigan US Hwy 41 3miS of Houghton","18/08/1950",47.070533,-88.519695,230,1950,102.5997060039,80.8424509285,660.8430450648,563.4205681921,6.4605363414,15.2677303355,0.4028282619,-0.6812672274,7,8.47568754163092,6.45894441961572,3.7566887727932,0,18.6913207340398,84.7568754163092,64.5894441961572,37.566887727932,0,186.913207340398
"MICH-V-1355533",1168.062,10,2194.553,0,720.601,634.3,"Houghton Co., Michigan, US Highway 41 about 3mi S of Houghton","18/08/1950",47.059755,-88.518564,230,1950,102.339799914,80.9066283556,662.2905911054,567.1886841892,6.4933863553,15.2761844073,0.4001589002,-0.6565554393,7,6.16920163484473,5.43036242939159,18.7879838570213,0,30.3875479212576,61.6920163484473,54.3036242939159,187.879838570213,0,303.875479212576
"BHO-V-0001940",1216.007,10,1874.563,0,892.113,626.529,"ditch along US Highway 41 about 3miles south of Houghton, Michigan","18/08/1950",47.057291,-88.51767,230,1950,102.2684871054,80.9151430486,662.5035298376,567.9545111389,6.5005836014,15.2779373621,0.3994909641,-0.6509836445,7,7.33641335946257,5.15234698484466,15.4157254028965,0,27.9044857472038,73.3641335946257,51.5234698484466,154.157254028965,0,279.044857472038
"1144974",1170.015,10,297.516,0,351.847,1096.805,"St. Louis Co., Minnesota, shore of Crane Lake near the sea plane base.","03/08/1955",48.268064,-92.487271,215,1955,150.9230757307,95.2199883404,1331.2904648276,907.9515606259,9.0346070111,23.3210689368,-0.2553625993,-0.8406682828,7,3.00720076238339,9.37428152630522,2.5428391943693,0,14.9243214830579,30.0720076238339,93.7428152630522,25.428391943693,0,149.243214830579
"465766064",146,5,210.42,0,203.24,102.4,"",NA,46.206481,-60.25238,229,1964,129.9186569274,86.5778090918,784.2668301257,529.6324849534,6.0448092656,13.0853604667,0.1576534514,-0.728408929,7,6.96027397260274,3.50684931506849,7.20616438356164,0,17.6732876712329,69.6027397260274,35.0684931506849,72.0616438356164,0,176.732876712329
"wtu-v-022132",1248.004,10,1033.103,0,915.588,460.601,"Coos Bay, West end of Dean Creek EVA","0015-07-19",43.694064,-124.046795,197,1992,281.1312810053,187.4286912399,1887.3761050371,1157.0232582433,7.2247332342,19.6529654645,0.1098711116,-0.5465876582,7,7.33641879352951,3.69070131185477,8.2780423780693,0,19.3051624834536,73.3641879352951,36.9070131185477,82.780423780693,0,193.051624834536
"KHD00010902",1115.007,10,1274.701,0,154.834,434.408,"Boulder Co., Colorado, along South Boulder Creek, N of the Burlington Northern Railroad tracks and S of the KOA lake","14/08/1995",40.02289,-105.2157,226,1995,155.1519285173,126.9209955456,1103.8700234744,719.1135985812,6.2900533876,24.1878588237,0.0967546432,-1.1895998069,7,1.38863702200973,3.89601141517497,11.4322241923145,0,16.7168726294992,13.8863702200973,38.9601141517497,114.322241923145,0,167.168726294992
"OSU_243439",1232,10,2030.252,0,0,218.291,"46.252* 123.6613* W","0023-09-20",46.252,-123.6613,266,2010,121.1059956906,112.2053975485,776.5689530872,700.0885827717,5.460829473,5.6737377831,0.5212880029,0.2272109791,7,0,1.77184253246753,16.4793181818182,0,18.2511607142857,0,17.7184253246753,164.793181818182,0,182.511607142857
"MICH-V-1452634",1210.106,10,2310.541,0,1398.432,267.987,"Cockburn Island, Ontario, Concession 8 Lot 11, along 10th side Rd, 0,5mi N of the 7th and 8th Concession Rd","30/08/2012",45.919665,-83.319216,243,2012,138.1467849256,109.4374736377,1377.3112245691,1216.2092177533,9.3391324915,21.8240978544,-0.4054760874,-1.0095346832,7,11.5562768881404,2.21457459098624,19.0937074933931,0,32.8645589725198,115.562768881404,22.1457459098624,190.937074933931,0,328.645589725198
"v0305294WIS",896.009,10,1292.063,0,675.109,105.802,"41.62448 -87.39421","1896-06-27",41.62448,-87.39421,179,1896,169.3646559349,78.5276158189,1966.4077260753,859.0823289899,11.3023402808,23.9758942921,-0.2257525839,-0.5156487227,8,7.53462297811741,1.18081403200191,14.4202011363725,0,23.1356381464918,75.3462297811741,11.8081403200191,144.202011363725,0,231.356381464918
"WTU-V-022158",1248.014,10,924.294,0,198.782,299.816,"SEATTLE, WASHINGTON","0016-04-19",47.554387,-122.350374,106,1905,240.2096088666,57.1008862532,1379.4379611039,118.1377699419,5.8218231306,12.94691224,0.12992127,-0.864243356,8,1.59278661938087,2.40234484549052,7.40611884161556,0,11.4012503064869,15.9278661938087,24.0234484549052,74.0611884161556,0,114.012503064869
"465766075",145,5,263.94,0,184.38,45.22,"",NA,45.365773,-63.286941,207,1919,120.9346554019,70.5224429215,857.8360708397,441.400821955,7.0499048552,12.921176757,-0.2974431917,-0.9192899966,8,6.35793103448276,1.55931034482759,9.10137931034483,0,17.0186206896552,63.5793103448276,15.5931034482759,91.0137931034483,0,170.186206896552
"v0305282WIS",896.002,10,1060.248,0,1401.816,466.284,"46.26562 -63.14398","06/08/1949",46.26562,-63.14398,218,1949,138.4155733547,63.2523271985,1134.5936790693,620.3912611713,8.1109675125,19.2353247864,-0.0283780543,-0.8124541289,8,15.6452329347479,5.20405088381499,11.8330985868335,0,32.6823824053964,156.452329347479,52.0405088381499,118.330985868335,0,326.823824053964
"MSC0147377",1178.244,10,520.572,0,834.777,606.152,"shore of Lake Gorge, north end, Sugar Island, Chippewa Co., Michigan","29/07/1956",46.533928,-84.19978,211,1956,154.1612855582,57.0360765276,938.4252829601,453.538245033,5.9884079405,14.7569733926,-0.1542436036,-0.8872581807,8,7.08492468453054,5.14453712473817,4.41820200230173,0,16.6476638115704,70.8492468453054,51.4453712473817,44.1820200230173,0,166.476638115704
"MSC0147222",1176.043,10,178.997,0,246.089,575.801,"Schoolcraft Co., Michigan, Cobble beach along Lake Michigan 2mi E of Manistique","31/08/1976",45.955601,-86.148941,244,1976,129.0142842537,103.0442591048,1233.5368948211,1058.5030830052,9.6468458481,12.9346648056,-0.5574953591,-0.3672412088,8,2.09251702531285,4.89608798317749,1.52202768096065,0,8.51063268945098,20.9251702531285,48.9608798317749,15.2202768096065,0,85.1063268945098
"OSU_188147",1228.007,10,3311.697,759.114,984.837,237.087,"Curry County, Oregon, Sea Winds Farm, 1.5mi W of Route 101, S and SW of Floras Lake","0021-08-19",42.885715,-124.484907,233,1995,317.5019251313,224.7478161515,2012.9020027099,1370.4535098613,6.2656446144,24.3254512858,0.9747859805,0.0333800311,8,8.01979956140315,1.93066489034672,26.968062885635,6.18167486015959,43.1002021975445,80.1979956140315,19.3066489034672,269.68062885635,61.8167486015959,431.002021975445
"1144955",1166.027,10,571.001,0,770.079,1012.51,"Cook Co., Minnesota, Superior National Forest, Little John Lake canoe landing/public access","30/07/1998",48.054239,-90.056497,211,1998,136.3105560114,83.8539491018,1050.2592587399,593.1369644086,7.6462656108,14.721454172,-0.3112724952,-0.5140410438,8,6.60429818520497,8.68341813697281,4.89697922946896,0,20.1846955516467,66.0429818520497,86.8341813697282,48.9697922946896,0,201.846955516467
"1145036",1168.027,10,1512.781,0,1121.723,851.805,"Cook Co., Minnisota, Superior National Forest, Gunflint Trail (Cty.12) 0.15mi w of Cty 12 and FR3/1378 junction","11/08/1999",48.040894,-90.460003,223,1999,119.2442064583,72.8644218407,992.4255380195,667.3857388815,8.3531324251,16.9279482706,-0.0603860095,-0.6862327518,8,9.6035708078666,7.29268244655303,12.9515927285927,0,29.8478459830124,96.035708078666,72.9268244655303,129.515927285927,0,298.478459830124
"919011390",614.03,5,854.58,0,1491.7,727.55,"",NA,43.7,-72.29,202,1892,139.9896405094,54.0601014319,1252.0059706175,426.5799257905,9.0252676567,17.6364517171,0.1020182254,-0.6358265938,9,12.1468006449196,5.9243848020455,6.95878051560999,0,25.0299659625751,121.468006449196,59.243848020455,69.5878051560999,0,250.299659625751
"919021194",612.05,5,1484.5,0,587.01,0,"","0014-08-19",43.92,-69.7,227,1904,146.7702240124,107.2390954501,1255.4785868601,964.6234465906,8.6980936775,13.9960146138,-0.0735431688,-0.6170557132,9,4.79544154889306,0,12.1272771832367,0,16.9227187321297,47.9544154889306,0,121.272771832367,0,169.227187321297
"MICH-V-1433771",1168.007,10,215.017,0,464.017,227.759,"Casselamn Ontario","20/07/1922",45.311768,-75.084872,201,1922,153.5809595686,75.8555093034,1324.408152594,678.5619275267,8.6705107893,14.2641805158,-0.0708122964,-0.5972513206,9,3.9727244785348,1.94997975183368,1.84088793988392,0,7.7635921702524,39.727244785348,19.4997975183368,18.4088793988392,0,77.635921702524
"MICH-V-1433772",1166.027,10,1920.692,0,1412.349,366.515,"Ontario, Casselman, ","21/07/1922",45.314652,-75.092395,202,1922,153.4961788116,76.89526412,1325.6806504249,692.1123591043,8.684084047,14.2589879233,-0.0705504362,-0.5954075071,9,12.1124896764826,3.14328055868346,16.4721057059571,0,31.7278759411231,121.124896764826,31.4328055868346,164.721057059571,0,317.278759411231
"RMBC_6536",1254.014,10,2851.498,0,212.052,412.678,"Chilliwack BC","0009-07-19",49.157151,-122.031759,190,1923,192.0648052489,91.433520502,1424.6284488622,538.0287964533,7.3982128367,13.5349956985,0.0069603265,-0.9189881412,9,1.69098590605847,3.29085640192215,22.7389646367584,0,27.7208069447391,16.9098590605847,32.9085640192215,227.389646367584,0,277.208069447391
"919010272",616.01,5,0,0,1249.47,1060.89,"","0016-07-19",44.19,-70.17,197,1923,176.5997570688,80.4137166628,1429.5448192841,641.955744988,8.08554579,18.4151895228,0.1104674492,-0.585288809,9,10.1416373110826,8.61098034122823,0,0,18.7526176523108,101.416373110826,86.1098034122823,0,0,187.526176523108
"919013311",608.05,5,0,0,2614.77,1273.7,"","0016-07-19",44.19,-70.17,197,1923,176.5997570688,80.4137166628,1429.5448192841,641.955744988,8.08554579,18.4151895228,0.1104674492,-0.585288809,9,21.5012745662363,10.4736452594359,0,0,31.9749198256722,215.012745662363,104.736452594359,0,0,319.749198256722
"465766076",143.33,5,0,0,245.69,118.45,"",NA,45.365773,-63.286941,213,1927,104.918405645,63.5265418217,912.9167770875,660.5724159543,8.7146078091,15.835151101,-0.4027486676,-0.6557261679,9,8.5707807158306,4.13207283890323,0,0,12.7028535547338,85.707807158306,41.3207283890323,0,0,127.028535547338
"RMBC_23576",1254.002,10,597.513,0,470.323,387.931,"District of Kent near Vancounver","0006-07-19",49.250385,-121.752134,187,1931,180.6978854477,78.0042078615,1391.4573080126,573.2720595214,7.7747745034,10.38868707,0.1817577951,-0.0761917054,9,3.75057615538093,3.0935437104566,4.76484885989018,0,11.6089687257277,37.5057615538093,30.935437104566,47.6484885989018,0,116.089687257277
"1189131",1170.015,10,797.03,0,441.026,347.701,"Nominingue, Labelle County, Quebec","05/08/1931",46.389648,-75.032318,217,1931,134.8954911601,76.0183975624,1206.0790211872,740.8409803146,9.3787730412,18.0837151329,-0.0864094504,-0.2670180712,9,3.76940466575215,2.97176531924804,6.81213488715956,0,13.5533048721598,37.6940466575215,29.7176531924804,68.1213488715956,0,135.533048721598
"MICH-V-1433769",1166.027,10,3156.53,0,540.015,189.855,"Labelle Co., Quebec, Nominingue","05/08/1931",46.39137,-75.030632,217,1931,134.8691238539,76.0040758856,1205.297902904,740.4677175194,9.3798966779,18.0779943165,-0.0861684138,-0.2669092161,9,4.631239242316,1.6282213019081,27.0708139691448,0,33.3302745133689,46.31239242316,16.282213019081,270.708139691448,0,333.302745133689
"OS0016034",1228.059,10,1289.591,0,501.16,303.694,"Quebec, Cap Rouge, shore of St. Lawrence River","19/08/1937",46.73894,-71.356297,231,1937,150.3413809853,112.061580996,1401.5135123033,1100.3026193962,8.7787445243,21.420457176,-0.1388874548,-0.9425627995,9,4.08091142200823,2.47295936107304,10.501050845277,0,17.0549216283583,40.8091142200823,24.7295936107304,105.01050845277,0,170.549216283582
"1189111",1170.002,10,2679.298,0,555.622,262.838,"Quebec County, Cap Rouge, along shore of St. Lawrence","19/08/1937",46.745415,-71.342801,231,1937,150.2409263067,112.0361742598,1398.9157975459,1098.7723097617,8.7839853951,21.4297497082,-0.1410086312,-0.9400521235,9,4.74889786513185,2.24647479235078,22.8999437607799,0,29.8953164182625,47.4889786513185,22.4647479235078,228.999437607799,0,298.953164182625
"MSC0147375",1180.137,10,4419.495,0,0,0,"Houghton Co., Michigan, Sunshine beach near Villiage of Houghton","06/09/1957",47.088811,-88.515649,249,1957,161.2429182409,135.3729784856,1190.4577026518,1055.5675131418,7.6098642564,21.6474148422,0.096850275,-0.8613692656,9,0,0,37.4489995653047,0,37.4489995653047,0,0,374.489995653047,0,374.489995653047
"918950482",155.01,5,0,0,68.96,66.31,"",NA,48.07,-65.45,216,1958,117.2306911775,72.8471724223,780.7690891029,509.9618646521,6.6672847458,12.516434774,0.1518044068,-0.9080517646,9,2.22437262112122,2.13889426488614,0,0,4.36326688600735,22.2437262112122,21.3889426488614,0,0,43.6326688600736
"465910713",150.5,5,561.65,0,0,77.03,"",NA,48.229645,-69.800621,252,1959,126.6124086575,111.3096218057,893.5497263391,843.1088945987,7.2894477605,11.9917868929,-0.1523397373,-0.4865506625,9,0,2.55913621262459,18.6594684385382,0,21.2186046511628,0,25.5913621262459,186.594684385382,0,212.186046511628
"MSC0147218",1176.061,10,765.59,0,792.084,830.433,"Houghton Co., Michigan, near Sunshine Beach,","09/09/1960",47.088811,-88.515649,253,1960,139.7234551294,109.8389200817,1103.3726480875,965.743495562,7.7483206749,17.6668317677,0.2653515775,-0.7580399351,9,6.73505881072495,7.06113883548557,6.50978138038758,0,20.3059790265981,67.3505881072495,70.6113883548557,65.0978138038758,0,203.059790265981
"OSU_180002",1233,10,621.046,0,418.71,1076.373,"Lincoln County, Oregon, Yacahts along Highway 101 south of Yachats River","0028-08-19",44.30786,-124.101594,240,1989,213.8504623929,136.7747446367,1512.209022021,1021.4849297428,6.6908980424,6.1564481966,-0.3648061433,-0.7126809478,9,3.39586374695864,8.72970802919708,5.03686942416869,0,17.1624412003244,33.9586374695864,87.2970802919708,50.3686942416869,0,171.624412003244
"OSU_194633",1232,10,943.031,0,1339.991,886.862,"Clatsop County, SW of Warrenton, West of North Fork Neacoxie Creek, 340m SE of intersection of NAV Road and North Neacoxie Road","0015-07-19",46.017868,-123.915946,196,1997,166.4076902481,68.8796164998,1097.6533047561,417.7150593101,6.3482136744,11.4502079585,0.2215005941,-0.2165272729,9,10.8765503246753,7.19855519480519,7.6544724025974,0,25.7295779220779,108.765503246753,71.9855519480519,76.544724025974,0,257.295779220779
"1145005",1170.043,10,2288.389,0,0,0,"N47*39.858' W90*51.359', Cook Co., Minnesota","22/08/1998",47.722967,-90.830052,234,1998,140.5975756522,111.1766666088,1004.3823712669,832.0156326665,7.8834739283,13.0217133661,-0.3984242424,-0.5479691941,9,0,0,19.5581615376529,0,19.5581615376529,0,0,195.581615376529,0,195.581615376529
"MICH-V-1452637",1208.081,10,676.536,0,540.588,134.766,"Rainy River Co., Ontario, Hwy 1 3km E of Seine River Bridge, 1km W of Price Creek","17/08/2001",48.736599,-92.259457,229,2001,138.365444544,108.0809602279,1214.19909579,966.7625774833,8.7815448373,20.723495569,0.2379045366,-0.6453973386,9,4.47476617875788,1.11553778264868,5.6000880735646,0,11.1903920349712,44.7476617875788,11.1553778264868,56.000880735646,0,111.903920349712
"WTU-V-022129",1244.002,10,2582.816,1491.05,0,0,"48* 4'N, 119* 41.2'W ","0026-09-20",48.066667,-119.6866667,269,2005,353.696965234,277.9685730026,1867.3307404708,1294.6653649852,4.8685371856,33.4633341253,-0.033414121,-3.8718121696,9,0,0,20.7621531155095,11.9859132059273,32.7480663214368,0,0,207.621531155095,119.859132059273,327.480663214368
"WTU-V-022129",1248.004,10,1920.232,0,683.2,412.138,"48* 0' 18"" N, 122* 10' 32'W","0029-07-20",48.005,-122.1755556,210,2005,261.0901490459,171.9125589582,1541.7809696384,932.5685553788,6.0714122876,13.1828982947,0.0272896159,-0.7501320891,9,5.47434142839286,3.3023772359704,15.3864250435095,0,24.1631437078727,54.7434142839286,33.023772359704,153.864250435095,0,241.631437078727
"OSU_215661",1227.004,10,5696.639,0,253.518,239.372,"N 46.27244* W 123.816629","0012-09-20",46.27244,-123.816629,255,2006,145.0375972483,121.6990655279,852.944579931,751.9546172444,5.8774756282,11.8863675601,0.9129653794,0.9190610965,9,2.06615463356273,1.95086568584944,46.4272243611268,0,50.4442446805389,20.6615463356273,19.5086568584944,464.272243611268,0,504.442446805389
