Population,Family,Pop-Fam,Individual,PlantID,Latitude,Longitude,Elevation,Days,Veg,Infl,Nodes,NodeLength,StemWidth,LeafArea
NJHP,9,NJHP-9,a,NJHP-9-a,41.31302778,74.678,390,85,774,146,16,48.375,3.44,
NJHP,9,NJHP-9,b,NJHP-9-b,41.31302778,74.678,390,75,655,214,14,46.78571429,3.66,1165.2
NJHP,10,NJHP-10,a,NJHP-10-a,41.31302778,74.678,390,121,1218,89,35,34.8,3.38,
NJHP,10,NJHP-10,b,NJHP-10-b,41.31302778,74.678,390,95,900,198,16,56.25,4.09,1355.4
NJHP,11,NJHP-11,b,NJHP-11-b,41.31302778,74.678,390,93,908,83,20,45.4,3.32,898.9
NJHP,12,NJHP-12,a,NJHP-12-a,41.31302778,74.678,390,77,585,110,16,36.5625,2.99,
NJHP,12,NJHP-12,b,NJHP-12-b,41.31302778,74.678,390,81,690,102,20,34.5,3.61,1061.4
NJHP,13,NJHP-13,b,NJHP-13-b,41.31302778,74.678,390,94,971,125,21,46.23809524,3.07,
NJHP,14,NJHP-14,a,NJHP-14-a,41.31302778,74.678,390,127,987,81,22,44.86363636,3.28,
NJHP,16,NJHP-16,a,NJHP-16-a,41.31302778,74.678,390,127,1120,88,29,38.62068966,3.7,
NJHP,16,NJHP-16,b,NJHP-16-b,41.31302778,74.678,390,130,1307,68,28,46.67857143,3.5,851.3
NJHP,17,NJHP-17,a,NJHP-17-a,41.31302778,74.678,390,85,795,120,17,46.76470588,4.09,
NJHP,18,NJHP-18,a,NJHP-18-a,41.31302778,74.678,390,84,775,111,17,45.58823529,3.58,
NJHP,18,NJHP-18,b,NJHP-18-b,41.31302778,74.678,390,90,847,140,24,35.29166667,3.52,962.1
NJHP,19,NJHP-19,a,NJHP-19-a,41.31302778,74.678,390,95,807,157,19,42.47368421,3.65,
NJHP,19,NJHP-19,b,NJHP-19-b,41.31302778,74.678,390,88,783,76,18,43.5,3.87,1319.4
NJHP,21,NJHP-21,a,NJHP-21-a,41.31302778,74.678,390,97,562,119,15,37.46666667,2.73,
NJHP,21,NJHP-21,b,NJHP-21-b,41.31302778,74.678,390,99,1100,138,24,45.83333333,3.6,866.5
NJHP,22,NJHP-22,a,NJHP-22-a,41.31302778,74.678,390,114,906,96,24,37.75,3.4,
NJHP,22,NJHP-22,b,NJHP-22-b,41.31302778,74.678,390,92,661,142,21,31.47619048,3.55,942.3
NJHP,23,NJHP-23,a,NJHP-23-a,41.31302778,74.678,390,99,1040,100,22,47.27272727,4.03,
NJHP,23,NJHP-23,b,NJHP-23-b,41.31302778,74.678,390,87,830,105,17,48.82352941,3.79,1247.7
NJHP,24,NJHP-24,a,NJHP-24-a,41.31302778,74.678,390,89,934,90,19,49.15789474,3.88,
NJHP,24,NJHP-24,b,NJHP-24-b,41.31302778,74.678,390,101,1075,140,24,44.79166667,3.24,640
NJHP,25,NJHP-25,a,NJHP-25-a,41.31302778,74.678,390,106,775,60,20,38.75,2.6,
NJHP,25,NJHP-25,b,NJHP-25-b,41.31302778,74.678,390,105,925,68,28,33.03571429,2.58,611.6
NJHP,26,NJHP-26,a,NJHP-26-a,41.31302778,74.678,390,91,1067,107,23,46.39130435,4.21,
NJHP,28,NJHP-28,b,NJHP-28-b,41.31302778,74.678,390,94,1035,120,21,49.28571429,4.4,
NJHP,29,NJHP-29,a,NJHP-29-a,41.31302778,74.678,390,88,930,133,15,62,4.56,
NJHP,29,NJHP-29,b,NJHP-29-b,41.31302778,74.678,390,90,700,88,17,41.17647059,2.99,1077.9
NJHP,30,NJHP-30,a,NJHP-30-a,41.31302778,74.678,390,91,897,138,22,40.77272727,3.64,
NJHP,30,NJHP-30,b,NJHP-30-b,41.31302778,74.678,390,87,820,138,21,39.04761905,3.85,1019.3
NJHP,31,NJHP-31,a,NJHP-31-a,41.31302778,74.678,390,117,1068,78,29,36.82758621,3.51,
NJHP,31,NJHP-31,b,NJHP-31-b,41.31302778,74.678,390,110,1110,96,29,38.27586207,3.85,765.2
NJPT,1,NJPT-1,a,NJPT-1-a,40.34036111,74.64986111,-27,84,775,134,19,40.78947368,3.9,
NJPT,1,NJPT-1,b,NJPT-1-b,40.34036111,74.64986111,-27,96,915,79,20,45.75,3.58,1027.2
NJPT,2,NJPT-2,a,NJPT-2-a,40.34036111,74.64986111,-27,135,975,80,29,33.62068966,3.39,
NJPT,2,NJPT-2,b,NJPT-2-b,40.34036111,74.64986111,-27,96,777,151,19,40.89473684,4.57,1456.7
NJPT,3,NJPT-3,a,NJPT-3-a,40.34036111,74.64986111,-27,87,798,114,22,36.27272727,3.74,
NJPT,3,NJPT-3,b,NJPT-3-b,40.34036111,74.64986111,-27,91,748,107,20,37.4,3.55,1146.4
NJPT,4,NJPT-4,a,NJPT-4-a,40.34036111,74.64986111,-27,121,1094,59,31,35.29032258,4.12,
NJPT,5,NJPT-5,a,NJPT-5-a,40.34036111,74.64986111,-27,102,1515,144,28,54.10714286,5.59,
NJPT,5,NJPT-5,b,NJPT-5-b,40.34036111,74.64986111,-27,100,1190,257,27,44.07407407,5.48,1846.9
NJPT,6,NJPT-6,a,NJPT-6-a,40.34036111,74.64986111,-27,100,1176,102,27,43.55555556,5.84,
NJPT,6,NJPT-6,b,NJPT-6-b,40.34036111,74.64986111,-27,89,1223,104,24,50.95833333,5.08,1713
NJPT,7,NJPT-7,a,NJPT-7-a,40.34036111,74.64986111,-27,97,958,221,24,39.91666667,4.35,
NJPT,7,NJPT-7,b,NJPT-7-b,40.34036111,74.64986111,-27,107,1121,170,27,41.51851852,5.07,1392.5
NJPT,8,NJPT-8,a,NJPT-8-a,40.34036111,74.64986111,-27,93,1100,208,27,40.74074074,4.66,
NJPT,9,NJPT-9,a,NJPT-9-a,40.34036111,74.64986111,-27,134,1177,14,22,53.5,4.04,
NJPT,9,NJPT-9,b,NJPT-9-b,40.34036111,74.64986111,-27,99,1003,103,26,38.57692308,3.22,922.7
NJPT,10,NJPT-10,a,NJPT-10-a,40.34036111,74.64986111,-27,121,1228,97,30,40.93333333,4.28,
NJPT,10,NJPT-10,b,NJPT-10-b,40.34036111,74.64986111,-27,93,848,112,21,40.38095238,3.56,1082
NJPT,11,NJPT-11,a,NJPT-11-a,40.34036111,74.64986111,-27,85,885,123,19,46.57894737,5.24,
NJPT,11,NJPT-11,b,NJPT-11-b,40.34036111,74.64986111,-27,96,1158,75,24,48.25,4.66,1575.4
NJPT,12,NJPT-12,a,NJPT-12-a,40.34036111,74.64986111,-27,102,856,118,19,45.05263158,4.97,
NJPT,13,NJPT-13,a,NJPT-13-a,40.34036111,74.64986111,-27,91,742,100,17,43.64705882,3.36,
NJPT,13,NJPT-13,b,NJPT-13-b,40.34036111,74.64986111,-27,117,1082,63,28,38.64285714,3.67,661.8
NJPT,14,NJPT-14,a,NJPT-14-a,40.34036111,74.64986111,-27,92,1040,88,24,43.33333333,3.22,
NJPT,14,NJPT-14,b,NJPT-14-b,40.34036111,74.64986111,-27,95,971,194,21,46.23809524,4.52,1049.5
NJPT,15,NJPT-15,a,NJPT-15-a,40.34036111,74.64986111,-27,97,877,107,22,39.86363636,3.22,
NJPT,15,NJPT-15,b,NJPT-15-b,40.34036111,74.64986111,-27,94,1054,125,21,50.19047619,3.93,1189.2
NJPT,16,NJPT-16,a,NJPT-16-a,40.34036111,74.64986111,-27,99,1187,99,27,43.96296296,5.25,
NJPT,16,NJPT-16,b,NJPT-16-b,40.34036111,74.64986111,-27,88,834,88,20,41.7,3.8,1304.4
NJPT,17,NJPT-17,a,NJPT-17-a,40.34036111,74.64986111,-27,115,1053,89,31,33.96774194,4.96,
NJPT,17,NJPT-17,b,NJPT-17-b,40.34036111,74.64986111,-27,133,1292,51,33,39.15151515,5.1,1059
NJPT,18,NJPT-18,a,NJPT-18-a,40.34036111,74.64986111,-27,92,1050,144,24,43.75,4.31,
NJPT,18,NJPT-18,b,NJPT-18-b,40.34036111,74.64986111,-27,87,902,103,22,41,4.28,1182.4
NJPT,19,NJPT-19,a,NJPT-19-a,40.34036111,74.64986111,-27,101,818,167,26,31.46153846,3.7,
NJPT,19,NJPT-19,b,NJPT-19-b,40.34036111,74.64986111,-27,101,742,163,20,37.1,3.67,1129.2
NJPT,20,NJPT-20,a,NJPT-20-a,40.34036111,74.64986111,-27,123,696,30,23,30.26086957,2.7,
NJPT,20,NJPT-20,b,NJPT-20-b,40.34036111,74.64986111,-27,90,705,110,21,33.57142857,3.04,1072.9
NJPT,21,NJPT-21,a,NJPT-21-a,40.34036111,74.64986111,-27,90,1160,125,24,48.33333333,5.29,
NJPT,21,NJPT-21,b,NJPT-21-b,40.34036111,74.64986111,-27,106,1340,163,26,51.53846154,4.79,1609
NJPT,22,NJPT-22,a,NJPT-22-a,40.34036111,74.64986111,-27,103,650,120,22,29.54545455,2.81,
NJPT,22,NJPT-22,b,NJPT-22-b,40.34036111,74.64986111,-27,89,832,202,19,43.78947368,6.36,1806.3
NJPT,23,NJPT-23,a,NJPT-23-a,40.34036111,74.64986111,-27,92,838,121,16,52.375,3.76,
NJPT,23,NJPT-23,b,NJPT-23-b,40.34036111,74.64986111,-27,95,776,160,16,48.5,4.53,1200.6
NJPT,24,NJPT-24,a,NJPT-24-a,40.34036111,74.64986111,-27,127,1613,60,39,41.35897436,6.16,
NJPT,24,NJPT-24,b,NJPT-24-b,40.34036111,74.64986111,-27,123,1387,84,31,44.74193548,5.79,846.5
NJPT,25,NJPT-25,a,NJPT-25-a,40.34036111,74.64986111,-27,98,685,75,20,34.25,2.46,
NJPT,25,NJPT-25,b,NJPT-25-b,40.34036111,74.64986111,-27,84,872,175,19,45.89473684,4.83,1832.9
NJPT,26,NJPT-26,a,NJPT-26-a,40.34036111,74.64986111,-27,78,732,91,16,45.75,3.24,
NJPT,27,NJPT-27,a,NJPT-27-a,40.34036111,74.64986111,-27,102,1130,119,27,41.85185185,4.2,
NJPT,27,NJPT-27,b,NJPT-27-b,40.34036111,74.64986111,-27,101,1290,169,24,53.75,5.18,2048.9
NJPT,28,NJPT-28,a,NJPT-28-a,40.34036111,74.64986111,-27,86,920,118,18,51.11111111,4.5,
NJPT,28,NJPT-28,b,NJPT-28-b,40.34036111,74.64986111,-27,85,1028,146,16,64.25,2.91,2016.5
NJPT,29,NJPT-29,a,NJPT-29-a,40.34036111,74.64986111,-27,88,780,170,22,35.45454545,4.18,
NJPT,29,NJPT-29,b,NJPT-29-b,40.34036111,74.64986111,-27,82,841,176,20,42.05,5.44,1720.6
NJPT,30,NJPT-30,a,NJPT-30-a,40.34036111,74.64986111,-27,127,1020,125,27,37.77777778,3.37,
NJPT,30,NJPT-30,b,NJPT-30-b,40.34036111,74.64986111,-27,101,1190,132,25,47.6,4.75,1496.7
NYCH,1,NYCH-1,a,NYCH-1-a,42.23847222,75.84627778,169,78,743,222,13,57.15384615,3.86,
NYCH,1,NYCH-1,b,NYCH-1-b,42.23847222,75.84627778,169,85,1120,192,19,58.94736842,4.78,1910
NYCH,2,NYCH-2,a,NYCH-2-a,42.23847222,75.84627778,169,78,906,105,18,50.33333333,4.17,
NYCH,2,NYCH-2,b,NYCH-2-b,42.23847222,75.84627778,169,81,970,174,20,48.5,4.49,1803.7
NYCH,3,NYCH-3,a,NYCH-3-a,42.23847222,75.84627778,169,83,930,217,19,48.94736842,4.74,
NYCH,3,NYCH-3,b,NYCH-3-b,42.23847222,75.84627778,169,79,763,90,17,44.88235294,3.76,1219.5
NYCH,4,NYCH-4,a,NYCH-4-a,42.23847222,75.84627778,169,92,900,223,20,45,4.04,
NYCH,5,NYCH-5,a,NYCH-5-a,42.23847222,75.84627778,169,80,943,132,15,62.86666667,4.08,
NYCH,5,NYCH-5,b,NYCH-5-b,42.23847222,75.84627778,169,75,820,174,17,48.23529412,4.42,1243.5
NYCH,6,NYCH-6,a,NYCH-6-a,42.23847222,75.84627778,169,110,1160,175,22,52.72727273,4.16,
NYCH,7,NYCH-7,a,NYCH-7-a,42.23847222,75.84627778,169,82,1005,196,17,59.11764706,5.06,
NYCH,7,NYCH-7,b,NYCH-7-b,42.23847222,75.84627778,169,75,627,220,13,48.23076923,4.16,1543.9
NYCH,8,NYCH-8,a,NYCH-8-a,42.23847222,75.84627778,169,86,806,298,19,42.42105263,4.22,
NYCH,8,NYCH-8,b,NYCH-8-b,42.23847222,75.84627778,169,77,595,85,19,31.31578947,3.1,1042.4
NYCH,9,NYCH-9,a,NYCH-9-a,42.23847222,75.84627778,169,84,1065,163,24,44.375,3.74,
NYCH,9,NYCH-9,b,NYCH-9-b,42.23847222,75.84627778,169,91,777,145,19,40.89473684,4.15,1736.7
NYCH,11,NYCH-11,a,NYCH-11-a,42.23847222,75.84627778,169,85,782,120,20,39.1,3.36,
NYCH,11,NYCH-11,b,NYCH-11-b,42.23847222,75.84627778,169,90,820,138,25,32.8,3.27,1281.6
NYCH,12,NYCH-12,a,NYCH-12-a,42.23847222,75.84627778,169,78,823,123,19,43.31578947,4.42,
NYCH,12,NYCH-12,b,NYCH-12-b,42.23847222,75.84627778,169,95,886,121,19,46.63157895,3.62,1171.3
NYCH,13,NYCH-13,a,NYCH-13-a,42.23847222,75.84627778,169,116,1035,108,23,45,4.4,
NYCH,13,NYCH-13,b,NYCH-13-b,42.23847222,75.84627778,169,98,584,145,16,36.5,2.73,764.6
NYCH,14,NYCH-14,a,NYCH-14-a,42.23847222,75.84627778,169,96,855,203,21,40.71428571,3.18,
NYCH,14,NYCH-14,b,NYCH-14-b,42.23847222,75.84627778,169,93,850,156,18,47.22222222,3.8,1388.6
NYCH,15,NYCH-15,a,NYCH-15-a,42.23847222,75.84627778,169,78,762,129,18,42.33333333,4.24,
NYCH,15,NYCH-15,b,NYCH-15-b,42.23847222,75.84627778,169,76,630,175,17,37.05882353,3.72,1283.4
NYCH,16,NYCH-16,a,NYCH-16-a,42.23847222,75.84627778,169,76,708,199,17,41.64705882,4.02,
NYCH,16,NYCH-16,b,NYCH-16-b,42.23847222,75.84627778,169,80,720,115,18,40,3.16,682.8
NYCH,17,NYCH-17,a,NYCH-17-a,42.23847222,75.84627778,169,76,772,130,17,45.41176471,3.72,
NYCH,17,NYCH-17,b,NYCH-17-b,42.23847222,75.84627778,169,77,616,292,13,47.38461538,4.08,1738.7
NYCH,18,NYCH-18,a,NYCH-18-a,42.23847222,75.84627778,169,88,910,142,19,47.89473684,4.11,
NYCH,18,NYCH-18,b,NYCH-18-b,42.23847222,75.84627778,169,86,792,187,18,44,3.51,1418.8
NYCH,19,NYCH-19,a,NYCH-19-a,42.23847222,75.84627778,169,151,934,125,26,35.92307692,2.58,
NYCH,19,NYCH-19,b,NYCH-19-b,42.23847222,75.84627778,169,74,707,135,16,44.1875,3.67,1404.3
NYCH,20,NYCH-20,a,NYCH-20-a,42.23847222,75.84627778,169,79,1060,210,20,53,5.29,
NYCH,20,NYCH-20,b,NYCH-20-b,42.23847222,75.84627778,169,79,770,270,17,45.29411765,4.09,1631.8
NYCH,21,NYCH-21,a,NYCH-21-a,42.23847222,75.84627778,169,84,702,181,18,39,3.63,
NYCH,21,NYCH-21,b,NYCH-21-b,42.23847222,75.84627778,169,83,865,205,19,45.52631579,4.7,2317.8
NYCH,22,NYCH-22,a,NYCH-22-a,42.23847222,75.84627778,169,80,642,163,17,37.76470588,3.79,
NYCH,22,NYCH-22,b,NYCH-22-b,42.23847222,75.84627778,169,83,750,154,17,44.11764706,3.52,1302.3
NYCH,23,NYCH-23,a,NYCH-23-a,42.23847222,75.84627778,169,73,720,159,14,51.42857143,4.06,
NYCH,23,NYCH-23,b,NYCH-23-b,42.23847222,75.84627778,169,77,591,132,19,31.10526316,3.87,1731.9
NYCH,24,NYCH-24,a,NYCH-24-a,42.23847222,75.84627778,169,85,938,172,17,55.17647059,4.28,
NYCH,24,NYCH-24,b,NYCH-24-b,42.23847222,75.84627778,169,80,850,212,17,50,3.78,1784.5
NYCH,25,NYCH-25,a,NYCH-25-a,42.23847222,75.84627778,169,76,565,168,16,35.3125,3.09,
NYCH,25,NYCH-25,b,NYCH-25-b,42.23847222,75.84627778,169,80,620,212,16,38.75,4.47,1384.6
NYCH,26,NYCH-26,a,NYCH-26-a,42.23847222,75.84627778,169,75,595,221,16,37.1875,3.49,
NYCH,26,NYCH-26,b,NYCH-26-b,42.23847222,75.84627778,169,82,950,194,19,50,4.03,1789.5
NYCH,27,NYCH-27,a,NYCH-27-a,42.23847222,75.84627778,169,103,1110,150,25,44.4,4.64,
NYCH,27,NYCH-27,b,NYCH-27-b,42.23847222,75.84627778,169,89,991,178,23,43.08695652,4.04,1699.9
NYCH,28,NYCH-28,b,NYCH-28-b,42.23847222,75.84627778,169,94,1096,222,25,43.84,4.19,1449.2
NYCH,29,NYCH-29,a,NYCH-29-a,42.23847222,75.84627778,169,79,930,277,18,51.66666667,4.45,
NYCH,29,NYCH-29,b,NYCH-29-b,42.23847222,75.84627778,169,85,1112,193,15,74.13333333,5.16,3169.9
NYCH,31,NYCH-31,a,NYCH-31-a,42.23847222,75.84627778,169,83,902,200,18,50.11111111,4.24,
NYCH,31,NYCH-31,b,NYCH-31-b,42.23847222,75.84627778,169,83,815,185,15,54.33333333,4.12,1983.4
NYCH,32,NYCH-32,a,NYCH-32-a,42.23847222,75.84627778,169,84,766,89,13,58.92307692,3.33,
NYCH,32,NYCH-32,b,NYCH-32-b,42.23847222,75.84627778,169,81,847,186,18,47.05555556,3.68,1123.5
NYLV,2,NYLV-2,a,NYLV-2-a,43.69708333,76.19425,74,89,877,178,21,41.76190476,3.63,
NYLV,2,NYLV-2,b,NYLV-2-b,43.69708333,76.19425,74,79,747,140,21,35.57142857,3.24,1256.7
NYLV,3,NYLV-3,a,NYLV-3-a,43.69708333,76.19425,74,100,1210,155,27,44.81481481,4.1,
NYLV,3,NYLV-3,b,NYLV-3-b,43.69708333,76.19425,74,107,1087,177,22,49.40909091,4.41,1801.2
NYLV,4,NYLV-4,a,NYLV-4-a,43.69708333,76.19425,74,93,1040,174,28,37.14285714,3.62,
NYLV,4,NYLV-4,b,NYLV-4-b,43.69708333,76.19425,74,84,970,106,22,44.09090909,4.33,1689.4
NYLV,5,NYLV-5,a,NYLV-5-a,43.69708333,76.19425,74,92,1000,138,22,45.45454545,3.62,
NYLV,5,NYLV-5,b,NYLV-5-b,43.69708333,76.19425,74,86,578,133,18,32.11111111,3.17,1264.5
NYLV,6,NYLV-6,a,NYLV-6-a,43.69708333,76.19425,74,85,743,137,24,30.95833333,2.93,
NYLV,6,NYLV-6,b,NYLV-6-b,43.69708333,76.19425,74,81,700,124,18,38.88888889,3.64,1743.3
NYLV,7,NYLV-7,a,NYLV-7-a,43.69708333,76.19425,74,80,832,100,16,52,3.73,
NYLV,7,NYLV-7,b,NYLV-7-b,43.69708333,76.19425,74,77,763,190,19,40.15789474,4.3,2220.4
NYLV,8,NYLV-8,a,NYLV-8-a,43.69708333,76.19425,74,88,600,204,20,30,3.55,
NYLV,8,NYLV-8,b,NYLV-8-b,43.69708333,76.19425,74,77,762,160,20,38.1,3.68,2212.1
NYLV,9,NYLV-9,a,NYLV-9-a,43.69708333,76.19425,74,83,890,130,17,52.35294118,3.7,
NYLV,9,NYLV-9,b,NYLV-9-b,43.69708333,76.19425,74,81,667,160,17,39.23529412,3.64,1580
NYLV,10,NYLV-10,a,NYLV-10-a,43.69708333,76.19425,74,82,742,103,20,37.1,3.04,
NYLV,11,NYLV-11,a,NYLV-11-a,43.69708333,76.19425,74,80,803,134,18,44.61111111,3.4,
NYLV,11,NYLV-11,b,NYLV-11-b,43.69708333,76.19425,74,81,875,133,19,46.05263158,3.88,1091.4
NYLV,12,NYLV-12,a,NYLV-12-a,43.69708333,76.19425,74,90,755,105,20,37.75,3.34,
NYLV,12,NYLV-12,b,NYLV-12-b,43.69708333,76.19425,74,87,868,138,18,48.22222222,4.86,2664.7
NYLV,13,NYLV-13,a,NYLV-13-a,43.69708333,76.19425,74,79,764,137,18,42.44444444,4.7,
NYLV,13,NYLV-13,b,NYLV-13-b,43.69708333,76.19425,74,79,735,140,16,45.9375,3.28,1803.5
NYLV,14,NYLV-14,a,NYLV-14-a,43.69708333,76.19425,74,82,812,171,21,38.66666667,3.48,
NYLV,14,NYLV-14,b,NYLV-14-b,43.69708333,76.19425,74,80,696,95,15,46.4,3.54,1494.1
NYLV,15,NYLV-15,a,NYLV-15-a,43.69708333,76.19425,74,81,626,205,17,36.82352941,3.74,
NYLV,15,NYLV-15,b,NYLV-15-b,43.69708333,76.19425,74,81,1000,175,22,45.45454545,4.13,1308.1
NYLV,16,NYLV-16,a,NYLV-16-a,43.69708333,76.19425,74,75,672,110,18,37.33333333,3.82,
NYLV,16,NYLV-16,b,NYLV-16-b,43.69708333,76.19425,74,76,885,230,21,42.14285714,5.14,2363.8
NYLV,17,NYLV-17,a,NYLV-17-a,43.69708333,76.19425,74,85,781,184,20,39.05,3.86,
NYLV,17,NYLV-17,b,NYLV-17-b,43.69708333,76.19425,74,81,623,187,18,34.61111111,3.16,1251.7
NYLV,18,NYLV-18,a,NYLV-18-a,43.69708333,76.19425,74,85,692,104,19,36.42105263,2.94,
NYLV,20,NYLV-20,a,NYLV-20-a,43.69708333,76.19425,74,79,1038,131,19,54.63157895,4.38,
NYLV,20,NYLV-20,b,NYLV-20-b,43.69708333,76.19425,74,132,1019,143,36,28.30555556,3.52,425.7
NYLV,21,NYLV-21,a,NYLV-21-a,43.69708333,76.19425,74,82,744,172,19,39.15789474,3.39,
NYLV,21,NYLV-21,b,NYLV-21-b,43.69708333,76.19425,74,96,1150,162,25,46,3.5,1312.8
NYLV,22,NYLV-22,a,NYLV-22-a,43.69708333,76.19425,74,84,593,194,17,34.88235294,3.04,
NYLV,22,NYLV-22,b,NYLV-22-b,43.69708333,76.19425,74,81,523,164,16,32.6875,2.94,1184.5
NYLV,23,NYLV-23,b,NYLV-23-b,43.69708333,76.19425,74,92,1030,183,22,46.81818182,4.17,1381.7
